,spin_landing,time,session_spin_count
0,11,2020-10-23 18:38:58.323959,1
1,33,2020-10-23 18:38:59.987550,2
2, 1 ,2020-10-23 18:39:06.479527,3
3,16,2020-10-23 18:39:08.511086,4
4,36,2020-10-23 18:39:10.509953,5
5,29,2020-10-23 18:39:12.575916,6
6,28,2020-10-23 18:39:22.317219,7
7, 5 ,2020-10-23 18:39:24.275141,8
8,32,2020-10-23 18:39:38.589512,9
9,29,2020-10-23 18:39:46.188672,10
10,18,2020-10-23 18:39:48.240884,11
11,12,2020-10-23 18:39:50.155038,12
12,21,2020-10-23 18:39:57.445292,13
13, 2 ,2020-10-23 18:40:57.056754,18
14,23,2020-10-23 18:40:59.730010,19
15,36,2020-10-23 18:41:03.593453,20
16, 6 ,2020-10-23 18:41:05.912364,21
17, 6 ,2020-10-23 18:41:06.611305,22
18, 9 ,2020-10-23 18:41:11.915045,23
19,17,2020-10-23 18:41:13.598524,24
20,21,2020-10-23 18:41:17.818186,25
21,21,2020-10-23 18:41:23.424726,26
22,29,2020-10-23 18:41:31.061912,27
23,26,2020-10-23 18:42:01.563245,28
24, 7 ,2020-10-23 18:42:03.137846,29
25, 3 ,2020-10-23 18:42:04.366240,30
26,10,2020-10-23 18:42:07.155211,31
27, 2 ,2020-10-23 18:42:10.098330,32
28,15,2020-10-23 18:42:12.911442,33
29,31,2020-10-23 18:42:18.893463,34
30,19,2020-10-23 18:42:21.791899,35
31,33,2020-10-23 18:42:25.501903,36
32,22,2020-10-23 18:42:32.375700,37
33, 0 ,2020-10-23 18:42:35.514892,38
34,14,2020-10-23 18:42:38.453237,39
35,12,2020-10-23 18:42:42.100508,40
36, 3 ,2020-10-23 18:42:47.331576,41
37,35,2020-10-23 18:43:09.132858,42
38,24,2020-10-23 18:43:10.583105,43
39,20,2020-10-23 18:43:12.492897,44
40,30,2020-10-23 18:44:10.539327,46
41,16,2020-10-23 18:44:15.197354,47
42,36,2020-10-23 18:44:18.284637,48
43, 9 ,2020-10-23 18:44:20.690807,49
44,35,2020-10-23 18:44:24.673989,50
45,12,2020-10-23 18:44:59.467248,55
46,21,2020-10-23 18:45:09.086318,56
47,18,2020-10-23 18:45:12.258329,57
48,31,2020-10-23 18:45:15.816694,58
49,18,2020-10-23 18:45:21.144394,59
50,12,2020-10-23 18:45:30.430989,60
51,31,2020-10-23 18:45:39.638742,61
52, 8 ,2020-10-23 18:45:41.586115,62
53, 1 ,2020-10-23 18:45:43.461581,63
54, 4 ,2020-10-23 18:45:46.037217,64
55,29,2020-10-23 18:45:47.764407,65
56,33,2020-10-23 18:45:50.130642,66
57, 0 ,2020-10-23 18:45:52.711409,67
58,12,2020-10-23 18:45:58.381941,68
59,10,2020-10-23 18:46:10.091379,69
60,23,2020-10-23 18:46:14.693853,70
61,17,2020-10-23 18:46:16.793050,71
62,21,2020-10-23 18:46:19.757749,72
63, 8 ,2020-10-23 18:46:30.472732,73
64, 8 ,2020-10-23 18:46:35.001422,74
65,19,2020-10-23 18:46:37.408274,75
66,25,2020-10-23 18:46:40.883979,76
67, 0 ,2020-10-23 18:46:42.985975,77
68, 7 ,2020-10-23 18:46:45.339206,78
69,18,2020-10-23 18:46:51.671470,79
70, 7 ,2020-10-23 18:46:57.190255,80
71, 2 ,2020-10-23 18:47:03.410899,81
72,16,2020-10-23 18:47:07.405697,82
73, 4 ,2020-10-23 18:47:10.024871,83
74,12,2020-10-23 18:47:13.580204,84
75, 6 ,2020-10-23 18:47:18.535419,85
76, 9 ,2020-10-23 18:47:21.065582,86
77,26,2020-10-23 18:47:39.561405,87
78, 7 ,2020-10-23 18:47:42.692447,88
79,23,2020-10-23 18:47:48.228289,89
80,24,2020-10-23 18:47:49.861500,90
81,19,2020-10-23 18:47:52.443545,91
82,32,2020-10-23 18:47:55.498914,92
83,24,2020-10-23 18:47:58.517549,93
84, 1 ,2020-10-23 18:48:00.588281,94
85,21,2020-10-23 18:48:04.102341,95
86,32,2020-10-23 18:48:06.544631,96
87,17,2020-10-23 18:48:10.163080,97
88,19,2020-10-23 18:48:12.435258,98
89,14,2020-10-23 18:48:16.828238,99
90, 7 ,2020-10-23 18:48:20.077984,100
91, 0 ,2020-10-23 18:48:22.257648,101
92, 8 ,2020-10-23 18:48:25.444735,102
93, 9 ,2020-10-23 18:48:26.953030,103
94,14,2020-10-23 18:48:29.877981,104
95,12,2020-10-23 18:48:31.296270,105
96,28,2020-10-23 18:48:36.281231,106
97,15,2020-10-23 18:48:39.378303,107
98,28,2020-10-23 18:48:40.888330,108
99,32,2020-10-23 18:48:43.221226,109
100, 2 ,2020-10-23 18:48:47.171901,110
101, 6 ,2020-10-23 18:48:49.515311,111
102,14,2020-10-23 18:48:51.404830,112
103, 8 ,2020-10-23 18:48:53.742288,113
104, 4 ,2020-10-23 18:48:56.407433,114
105, 5 ,2020-10-23 18:49:01.838426,115
106, 8 ,2020-10-23 18:49:04.988925,116
107, 9 ,2020-10-23 18:49:11.447492,117
108,15,2020-10-23 18:49:20.686602,118
109,33,2020-10-23 18:49:26.517275,119
110, 4 ,2020-10-23 18:49:28.887763,120
111,33,2020-10-23 18:49:32.360390,121
112,14,2020-10-23 18:49:37.478466,122
113,26,2020-10-23 18:49:44.710938,123
114, 1 ,2020-10-23 18:49:47.077757,124
115, 2 ,2020-10-23 18:49:48.266297,125
116,18,2020-10-23 18:49:51.475936,126
117,35,2020-10-23 18:49:53.180657,127
118,11,2020-10-23 18:49:55.451789,128
119, 7 ,2020-10-23 18:49:57.897152,129
120,13,2020-10-23 18:50:17.620673,130
